exit_time,pnl,symbol,regime,side,strategy_id
2025-02-01 00:00:00+00:00,2.290609,ASSET_A,volatile,long,SYNTHETIC_EXAMPLE
2025-02-01 12:00:00+00:00,0.406369,ASSET_B,calm,short,SYNTHETIC_EXAMPLE
2025-02-02 00:00:00+00:00,1.090729,ASSET_C,calm,long,SYNTHETIC_EXAMPLE
2025-02-02 12:00:00+00:00,1.409552,ASSET_A,calm,short,SYNTHETIC_EXAMPLE
2025-02-03 00:00:00+00:00,1.365066,ASSET_B,volatile,long,SYNTHETIC_EXAMPLE
2025-02-03 12:00:00+00:00,0.87997,ASSET_C,calm,short,SYNTHETIC_EXAMPLE
2025-02-04 00:00:00+00:00,0.375852,ASSET_A,calm,long,SYNTHETIC_EXAMPLE
2025-02-04 12:00:00+00:00,0.278335,ASSET_B,calm,short,SYNTHETIC_EXAMPLE
2025-02-05 00:00:00+00:00,0.226095,ASSET_C,volatile,long,SYNTHETIC_EXAMPLE
2025-02-05 12:00:00+00:00,0.374214,ASSET_A,calm,short,SYNTHETIC_EXAMPLE
2025-02-06 00:00:00+00:00,0.962437,ASSET_B,calm,long,SYNTHETIC_EXAMPLE
2025-02-06 12:00:00+00:00,-0.095501,ASSET_C,calm,short,SYNTHETIC_EXAMPLE
2025-02-07 00:00:00+00:00,0.809953,ASSET_A,volatile,long,SYNTHETIC_EXAMPLE
2025-02-07 12:00:00+00:00,1.229142,ASSET_B,calm,short,SYNTHETIC_EXAMPLE
2025-02-08 00:00:00+00:00,0.171526,ASSET_C,calm,long,SYNTHETIC_EXAMPLE
2025-02-08 12:00:00+00:00,0.526818,ASSET_A,calm,short,SYNTHETIC_EXAMPLE
2025-02-09 00:00:00+00:00,0.375198,ASSET_B,volatile,long,SYNTHETIC_EXAMPLE
2025-02-09 12:00:00+00:00,0.882941,ASSET_C,calm,short,SYNTHETIC_EXAMPLE
2025-02-10 00:00:00+00:00,0.630214,ASSET_A,calm,long,SYNTHETIC_EXAMPLE
2025-02-10 12:00:00+00:00,0.396263,ASSET_B,calm,short,SYNTHETIC_EXAMPLE
2025-02-11 00:00:00+00:00,0.475538,ASSET_C,volatile,long,SYNTHETIC_EXAMPLE
2025-02-11 12:00:00+00:00,1.239499,ASSET_A,calm,short,SYNTHETIC_EXAMPLE
2025-02-12 00:00:00+00:00,0.777934,ASSET_B,calm,long,SYNTHETIC_EXAMPLE
2025-02-12 12:00:00+00:00,1.424245,ASSET_C,calm,short,SYNTHETIC_EXAMPLE
2025-02-13 00:00:00+00:00,1.336971,ASSET_A,volatile,long,SYNTHETIC_EXAMPLE
2025-02-13 12:00:00+00:00,-0.870038,ASSET_B,calm,short,SYNTHETIC_EXAMPLE
2025-02-14 00:00:00+00:00,1.576587,ASSET_C,calm,long,SYNTHETIC_EXAMPLE
2025-02-14 12:00:00+00:00,0.914884,ASSET_A,calm,short,SYNTHETIC_EXAMPLE
