exit_time,pnl,symbol,regime,side,strategy_id
2025-04-01 00:00:00+00:00,0.670588,ASSET_A,volatile,long,SYNTHETIC_EXAMPLE
2025-04-01 12:00:00+00:00,0.811114,ASSET_B,calm,short,SYNTHETIC_EXAMPLE
2025-04-02 00:00:00+00:00,1.159689,ASSET_C,calm,long,SYNTHETIC_EXAMPLE
2025-04-02 12:00:00+00:00,1.430362,ASSET_A,calm,short,SYNTHETIC_EXAMPLE
2025-04-03 00:00:00+00:00,0.366124,ASSET_B,volatile,long,SYNTHETIC_EXAMPLE
2025-04-03 12:00:00+00:00,0.8181,ASSET_C,calm,short,SYNTHETIC_EXAMPLE
2025-04-04 00:00:00+00:00,0.855702,ASSET_A,calm,long,SYNTHETIC_EXAMPLE
2025-04-04 12:00:00+00:00,-0.700103,ASSET_B,calm,short,SYNTHETIC_EXAMPLE
2025-04-05 00:00:00+00:00,0.104225,ASSET_C,volatile,long,SYNTHETIC_EXAMPLE
2025-04-05 12:00:00+00:00,-0.065796,ASSET_A,calm,short,SYNTHETIC_EXAMPLE
